,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,RNA,ATAC
0,bindSC-louvain,Embedding,6924.0,0.8462098160080612,0.912139030059231,0.4073054624808607,0.7714112531948274,0.8544547484342965,1.0,0.425867514174139,0.362066207309505,0.4301477160157215,0.5565149253826351,0.5674773024588127,0.9440662282956288,0.933293834398696,0.3480965178585018,0.4202319769035513,0.7528944362110994,0.8866975119861306,0.248605223686233,0.8220291414508683,0.8908373021062747,1.0,0.410935760196554,0.3307752434101316,0.3271859994997856,0.5831406863656887,0.5859224482811626,0.9630325636492744,0.9771955445191388,0.5623980639771113,0.5834838598813767,0.1218321574069346,0.0025996533795493,0.0028885037550548,0.0023108030040439,0.4617995378393992,0.4454072790294627,0.4781917966493356,0.6414644714038128,0.6409589832466782,0.6419699595609474,R100,A100
1,scglue-louvain,Embedding,6924.0,0.8892717223987319,0.9058298998909692,0.627633409638719,0.9658194456897804,0.9710797442586968,1.0,0.2938580779881632,0.6607639202864793,0.5824812802563853,0.7698943562805598,0.7163268745667012,0.9802506639768308,0.9842153519431652,0.5231405837878597,0.5000418156304677,0.881486591667173,0.9125786456140104,0.5446179697812099,0.937433964215998,0.9530420160291272,1.0,0.3319466968987938,0.640708734472213,0.6049481866307569,0.7443899240383035,0.7220800800310567,0.9796892040033092,0.985000297054964,0.4212588574347153,0.4903423105885578,0.0391256677683363,0.0146591565569035,0.0145869439630271,0.0147313691507798,0.7450173310225303,0.7433564413633738,0.7466782206816869,0.8585355285961872,0.8568746389370306,0.8601964182553438,R100,A100
2,LIGER_INMF-louvain,Embedding,6924.0,0.816061673447666,0.8711313515446819,0.523751827344373,0.9463997602924028,0.9698401101446696,1.0,0.3273436528309508,0.5117499041594828,0.4873443249699338,0.7131180522750962,0.6742122105655619,0.9819826035256995,0.9846005784182972,0.5763609041450437,0.5297288218360762,0.8814557907227971,0.8797904605595381,0.5030876401188483,0.8687038761387279,0.9128799632254982,1.0,0.3922825772420815,0.4796373004892371,0.5776693557970578,0.6266868812282617,0.6561735958404845,0.9531456587652704,0.9548400638974016,0.42827069081999,0.4782819865015401,0.330203004995059,0.0012276140958983,0.0017331022530329,0.0007221259387637,0.3373772385904101,0.4191218948584633,0.255632582322357,0.5252744078567302,0.6045638359329867,0.4459849797804737,R100,A100
3,LIGER_OINMF-louvain,Embedding,6924.0,0.8368783819792271,0.8826014318843063,0.6408265360018882,0.9228010321043766,0.9363007899780448,1.0,0.3546131124893741,0.444539060227877,0.4454580554987311,0.6374431131253884,0.6268108395712659,0.9585628028539984,0.9526355494982064,0.5408498922325842,0.51345707573167,0.8741074229100116,0.903372906222432,0.5573323444702143,0.8383827727962934,0.8747102634706986,1.0,0.4256767437709249,0.4528120291538892,0.5594604842742386,0.5721539122105501,0.6078542753558047,0.9414776596049996,0.9175916038916564,0.4866383317021396,0.4829648097418715,0.2604703985100594,0.0007221259387637,0.0005777007510109,0.0008665511265164,0.3859763142692085,0.4013575967648758,0.3705950317735413,0.5734402079722704,0.6305603697284806,0.5163200462160601,R100,A100
4,LIGER_UINMF-louvain,Embedding,6924.0,0.8193328685981575,0.8777599050910551,0.5668086972290196,0.9423039484951858,0.9659389142370296,1.0,0.3454622997331471,0.4554569692023732,0.4317865371617883,0.679424620846836,0.642554470949641,0.9816857407040096,0.9843326125565424,0.493751646669978,0.4968813427283526,0.8091414581342555,0.8660433195690388,0.4399929540764163,0.877235453842394,0.9324233262542524,1.0,0.3724693216394708,0.4180358476406173,0.5102311053332059,0.5997598390664814,0.6376294898322068,0.9558909059069453,0.9623334690310944,0.4484678458318035,0.5748851113989188,0.4452832953038702,0.0005777007510109,0.0004332755632582,0.0007221259387637,0.1422588099364529,0.1634893125361063,0.1210283073367995,0.2861785095320623,0.2999711149624494,0.2723859041016753,R100,A100
5,MaxFuse-louvain,Embedding,6924.0,0.8814846186560761,0.9241718827720352,0.5860137076627718,0.9471838298272408,0.9606082295517672,1.0,0.378295528346098,0.6819277178585064,0.6032239872553243,0.7551927375229505,0.7062852920280877,0.9733911631331504,0.972528143638024,0.5831056191151225,0.5474836414097096,0.7972590103695152,0.8591069496229271,0.6434170737446855,0.9420722051629616,0.9661969420502834,1.0,0.3362089647553362,0.5592550476299906,0.4998457676479363,0.7120934644061514,0.6732709832236459,0.9798082814582698,0.9857496898403028,0.4992244932423195,0.6313094082190699,0.135249766299855,0.0083766608896591,0.0089543616406701,0.0077989601386481,0.6985846331600232,0.7248700173310225,0.6722992489890237,0.8221403812824957,0.8467648757943386,0.7975158867706528,R100,A100
6,MultiMAP-louvain,Embedding,6924.0,0.6695646374896392,0.8076098457348262,0.2444258793440816,0.745234909850724,0.8348220633739152,1.0,0.3030313737950288,0.2739850936580202,0.2533281695927436,0.5956562365098048,0.5734048701939127,0.9685227777931767,0.977654031518179,0.4666737600323645,0.5155824090108627,0.6936614742198228,0.8678123983443262,0.1177365871877511,0.6884794374382756,0.7764253864699366,1.0,0.405248915059323,0.2357630833790511,0.2401688017790345,0.531209277679764,0.5308379477319607,0.9590069888620696,0.9676980126317992,0.4705488848886282,0.6042884345200266,0.1486439718044654,0.0025996533795493,0.0021663778162911,0.0030329289428076,0.5979924898902369,0.6191507798960139,0.5768341998844598,0.7720248411322934,0.8035817446562681,0.7404679376083189,R100,A100
7,pamona-louvain,Embedding,6924.0,0.6540308399910874,0.8624657948742092,0.161283920206121,0.3574647269921935,0.6370752066557185,1.0,0.407174125713523,0.095926841942669,0.0955899966529381,0.3105129554465646,0.3076372239359621,0.8794479885017927,0.8224499079379819,0.4994961542192053,0.4641325043346448,0.632022223232758,0.8595088383815352,0.0983777225227752,0.1201704844585639,0.2093918113773683,1.0,0.5144391280953938,0.0139813630821724,0.0130320246346699,0.056428464462408,0.0473921623258212,0.7305075004938973,0.5208692049293753,0.4896637295501376,0.485571577800443,0.5096601865562929,0.0,0.0,0.0,0.0691796649335644,0.0557481224725592,0.0826112073945696,0.1051415366839976,0.0879549393414211,0.1223281340265742,R100,A100
8,SCALEX-louvain,Embedding,6924.0,0.8734137445137301,0.900982076899497,0.6161034271703094,0.9333700537673082,0.9357424071157112,1.0,0.3141104289401259,0.579652838768773,0.5579813312437036,0.6930777746122692,0.669708981055398,0.9712622507046228,0.9685363539318136,0.5805842740337611,0.5099823085095992,0.8893449709605955,0.9429674196819536,0.5357498853234721,0.8837222734120186,0.9458303030887004,1.0,0.4239004707038564,0.4737154598604076,0.5294908865880561,0.5961563280987325,0.6143744393222585,0.951023454119605,0.9446851405940976,0.5120452600996832,0.5265598175837911,0.1355417141826368,0.0030329289428076,0.0034662045060658,0.0025996533795493,0.5761120739456961,0.6155401502021952,0.536683997689197,0.7564269208549972,0.7780184864240324,0.7348353552859619,R100,A100
9,SeuratV3_CCA-louvain,Embedding,6924.0,0.910936538882018,0.8864178689492513,0.826044708660077,0.952005726846015,0.963637486354544,1.0,0.1748842335227494,0.4059898783448238,0.3786279669448231,0.6530552314243946,0.6144595582524791,0.97200731423391,0.9727892561251242,0.6092809600678762,0.5419183893890254,0.7509053645865803,0.8510257217702273,0.2635461438699822,0.8648762862031173,0.9017002928139144,1.0,0.3377807019042912,0.3886407480794018,0.3381045450509254,0.6640683292026733,0.6287694719741221,0.9797640766183716,0.9854772845297604,0.3342692843902644,0.5292189118097576,0.0817725234042226,0.0041883304448295,0.0046216060080878,0.0037550548815713,0.6852975158867707,0.6494800693240901,0.7211149624494512,0.8250288850375505,0.7824956672443674,0.8675621028307337,R100,A100
10,SeuratV4_RPCA-louvain,Embedding,6924.0,0.9177060322448704,0.8845444899661382,0.7692122713250398,0.9603721453916904,0.9840222768806952,1.0,0.183043454054823,0.4855757248684857,0.4367251301114368,0.6664380178907097,0.6257600132548325,0.9686085276506174,0.9765713262087216,0.5938097854545213,0.5308506376902843,0.7592506044833844,0.8605703926637062,0.2754557768783905,0.8171666394374069,0.8957788068814629,1.0,0.3205935199903165,0.3085150138000709,0.2859591964789036,0.5931120972614046,0.5732302066518259,0.9720534116611208,0.980789216044344,0.4284279459203139,0.4649459713607441,0.1089543908427589,0.0054159445407279,0.0070768341998844,0.0037550548815713,0.6314269208549972,0.6441363373772386,0.6187175043327556,0.7903668399768919,0.7690641247833622,0.8116695551704217,R100,A100
11,SIMBA-louvain,Embedding,6924.0,0.9337718918869532,0.922325495888752,0.7168603543627547,0.967126534666103,0.9636541037906156,1.0,0.2631273891734573,0.6296962160549117,0.5606211043903909,0.7360575848507928,0.6906487168836438,0.9791295823410108,0.9811879689814712,0.5795309755407819,0.5068819132726363,0.9029560140253236,0.9408522910703052,0.6685437338429149,0.9387415693033038,0.960427373009482,1.0,0.3649214386484818,0.5142972866447438,0.5761981226762233,0.6594173506130109,0.6711308875656247,0.9628543751980776,0.9714725160468888,0.525388357005081,0.5639552476048784,0.1015450491446124,0.0038272674754477,0.0030329289428076,0.0046216060080878,0.5887492778740613,0.572212593876372,0.6052859618717504,0.7663200462160601,0.7715193529751588,0.7611207394569613,R100,A100
12,unionCom-louvain,Embedding,6924.0,0.762071496562982,0.8374069909208395,0.3925859855068921,0.9136414827865827,0.9440101024209384,1.0,0.2974029202767378,0.4619736661685987,0.3747653350191119,0.691560508513153,0.638136780376182,0.982044613091315,0.9893014045705943,0.3651478268904245,0.5054751036366745,0.8266283136308105,0.8740104894138132,0.349208538842739,0.8364968743574632,0.934315150973977,1.0,0.3495731438587262,0.4280266403088438,0.4582856012462923,0.6398864953848571,0.6419006536484211,0.9693321533254704,0.979545907979258,0.3135627410446675,0.5476189163085752,0.0444195684365134,0.0057047949162333,0.0060658578856152,0.0053437319468515,0.6532351242056614,0.6964182553437319,0.610051993067591,0.810369728480647,0.8320335066435587,0.7887059503177354,R100,A100
13,uniPort-louvain,Embedding,6924.0,0.8980689549897181,0.9358847068990074,0.5612488266682749,0.8748672470117451,0.91936189211248,1.0,0.4203664711977067,0.5203429897695566,0.5190922442556647,0.6506918918258607,0.643227215117985,0.96687308520076,0.9684644631366466,0.505676978384988,0.4826613277584329,0.8990558686322382,0.9152572475630948,0.7869099880402977,0.9673568219886968,0.9644755580285448,1.0,0.2875789100911581,0.6069337941957483,0.5519216192314148,0.7362173224240242,0.6888602032540792,0.9776289416390592,0.981012303497122,0.5754166654076627,0.5078010252070868,0.0796742698893758,0.0079433853264009,0.0077989601386481,0.0080878105141536,0.6884748700173311,0.67157712305026,0.7053726169844021,0.81946851530907,0.8061813980358175,0.8327556325823223,R100,A100
14,bindSC-louvain,Embedding,6924.0,0.8103142059813713,0.912910615011976,0.3965522149036027,0.7382481500962853,0.8418973701270822,1.0,0.4276747118473324,0.3235032011158394,0.3951590996201923,0.4902939137066848,0.5048608804915564,0.92874546281374,0.8856725748601904,0.486841761279725,0.4065080824607154,0.8188015281310217,0.8916566007143147,0.360383993137912,0.7634445800627343,0.85589787968308,1.0,0.3963087356462047,0.2763556424553168,0.3073152813750531,0.5060020798669731,0.5164945141137756,0.9383852833207424,0.914629622145102,0.548952200399927,0.5755813475325929,0.1836651504107816,0.0012998266897746,0.0017331022530329,0.0008665511265164,0.3200462160600809,0.303581744656268,0.3365106874638937,0.5293905257076834,0.5512709416522241,0.5075101097631427,R100,A10
15,scglue-louvain,Embedding,6924.0,0.8957451545869665,0.913557136750953,0.612201353329941,0.9568952243725756,0.9726509592527468,1.0,0.2798997060647762,0.6323130377610848,0.5419897803484819,0.7488168336848845,0.6909580321066343,0.980631901168898,0.9831692783752722,0.5203484609810078,0.5091280890558763,0.8929336498679189,0.9338666106864134,0.4426870279980281,0.8881520098903966,0.9200756949904147,1.0,0.4118970535793188,0.5519047462354563,0.6092156256505273,0.6796298336213475,0.6843322550142363,0.961679337009262,0.966883497045126,0.4573198007114338,0.476195370172649,0.0677265272775877,0.0069324090121317,0.0070768341998844,0.0067879838243789,0.6846476025418833,0.6948295782784517,0.6744656268053149,0.8235124205661467,0.8268341998844598,0.8201906412478336,R100,A10
16,LIGER_INMF-louvain,Embedding,6924.0,0.82788480627326,0.861011978239822,0.5314607217124497,0.9472188762728836,0.9679484351321508,1.0,0.3081857510587181,0.5283015989976483,0.4865670215431903,0.7183708534440172,0.6721177422848962,0.9781409659685136,0.9822710626469052,0.5534670080244596,0.5274330263035683,0.8404223124172162,0.8758078233307263,0.5758168427479495,0.7006941143911358,0.8275859444458169,1.0,0.4774344728159257,0.2945509623480255,0.4137223197473523,0.381928245933556,0.422961546299005,0.8883511402500669,0.8310034871355725,0.484558119872179,0.4398173451437449,0.2887778500320889,0.0006499133448873,0.0007221259387637,0.0005777007510109,0.2262420566146736,0.3586077411900635,0.0938763720392836,0.4017186597342576,0.5563258232235702,0.2471114962449451,R100,A10
17,LIGER_OINMF-louvain,Embedding,6924.0,0.8299704212483534,0.8814383720904545,0.5926183297007568,0.926651764988182,0.945173520762802,1.0,0.3627488593706598,0.4157780835378822,0.4362898139102196,0.6362031155040565,0.6161061029632185,0.957031299797491,0.9509668664538948,0.4775564661975833,0.5184716898375116,0.878982852153649,0.9278539969227392,0.579366910511771,0.5836131208883822,0.8029012326616914,1.0,0.5201699982640569,0.0988377471366342,0.1394988228732751,0.1738751105167886,0.1868344032524788,0.8116733767329817,0.6871608614734007,0.4511419943405281,0.4501598926828944,0.353384551294053,0.0005777007510109,0.0008665511265164,0.0002888503755054,0.2977325245522819,0.4287983824378972,0.1666666666666666,0.4584777585210861,0.5983535528596187,0.3186019641825534,R100,A10
